"artist","album","genre","primary","score","date","author","role"
"Dead Can Dance","Dionysus","Experimental","Experimental",7.3,2018-11-05,"Ben Cardew","Contributor"
"Ian William Craig","Thresholder","Experimental","Experimental",7.9,2018-11-05,"Grayson Haver Currin","Contributor"
"Missy Elliott","Supa Dupa Fly","Rap","Rap",9,2018-11-04,"Judnick Mayard","Contributor"
"Ty Dolla $ign, Jeremih","MihTy","Rap,Pop/R&B","Rap",7.7,2018-11-03,"Austin Brown",""
"Metallica","...And Justice for All","Metal","Metal",9.3,2018-11-03,"Sean T. Collins","Contributor"
"Ian Sweet","Crush Crusher","Rock","Rock",6.5,2018-11-03,"Nina Corcoran","Contributor"
"Tasha","Alone at Last","Pop/R&B","Pop/R&B",7.1,2018-11-03,"Vrinda Jagota","Contributor"
"Vince Staples","FM!","Rap","Rap",8.2,2018-11-02,"Alphonse Pierre","Staff Writer "
"Julia Holter","Aviary","Experimental","Experimental",8.2,2018-11-02,"Jenn Pelly","Contributing Editor"
"Tory Lanez","LoVE me NOw","Rap","Rap",5,2018-11-02,"Alphonse Pierre","Staff Writer "
"Mr Twin Sister","Salt","Pop/R&B","Pop/R&B",7,2018-11-02,"Larry Fitzmaurice","Contributor"
"Miya Folick  ","Premonitions","Rock","Rock",8.1,2018-11-01,"Margaret Farrell","Contributor "
"R.E.M.","R.E.M. at the BBC","Rock","Rock",7.4,2018-11-01,"Chris Randle","Contributor"
"Saves the Day","9","Rock","Rock",3.5,2018-11-01,"Arielle Gordon","Contributor"
"Mr. Mitch","Primary Progressive","Electronic","Electronic",7.7,2018-11-01,"Ben Cardew","Contributor"
"Nao","Saturn","Pop/R&B","Pop/R&B",7.7,2018-10-31,"Eric Torres","Web Producer"
"Deerhoof","Deerhoof Plays Music of the Shining","Experimental","Experimental",7.1,2018-10-31,"Sophie Kemp ","Contributor "
"Joji","BALLADS 1","Pop/R&B","Pop/R&B",6.7,2018-10-31,"Braudie Blais-Billie","Associate Staff Writer"
"Apollo Brown, Joell Ortiz","Mona Lisa","Rap","Rap",6.7,2018-10-31,"Dean Van Nguyen","Contributor"
"Mick Jenkins","Pieces of a Man","Rap","Rap",7.6,2018-10-30,"Dean Van Nguyen","Contributor"
"Colin Self","Siblings","Experimental","Experimental",8,2018-10-30,"Ruth Saxelby","Contributor"
"John Carpenter, Cody Carpenter, Daniel Davies","Halloween: Original Motion Picture Soundtrack","Experimental","Experimental",7.4,2018-10-30,"Jayson Greene","Contributing Editor"
"Anna St. Louis ","If Only There Was a River","Folk/Country","Folk/Country",7.5,2018-10-30,"Grayson Haver Currin","Contributor"
"Makaya McCraven","Universal Beings","Jazz","Jazz",8.1,2018-10-29,"Nate Chinen","Contributor"
"Unknown Mortal Orchestra","IC-01 Hanoi","Rock","Rock",6.5,2018-10-29,"Andy Beta","Contributor"
"SRSQ","Unreality","Electronic","Electronic",6.9,2018-10-29,"Larry Fitzmaurice","Contributor"
"Cosmic Analog Ensemble","Une Vie Cent Détours","Jazz","Jazz",7.7,2018-10-29,"Dean Van Nguyen","Contributor"
"Lucinda Williams","Car Wheels on a Gravel Road","Folk/Country","Folk/Country",9.5,2018-10-28,"Jenn Pelly","Contributing Editor"
"Thom Yorke","Suspiria (Music for the Luca Guadagnino Film)","Electronic,Rock","Electronic",8,2018-10-27,"Philip Sherburne","Contributing Editor"
"Bruce","Sonder Somatic","Electronic","Electronic",7.4,2018-10-27,"Andy Beta","Contributor"
"Peter Bjorn and John","Darker Days","Rock","Rock",6.8,2018-10-27,"Larry Fitzmaurice","Contributor"
"Laraaji, Arji OceAnanda, Dallas Acid","Arrive Without Leaving","Experimental","Experimental",7.6,2018-10-27,"Miles Bowe","Contributor"
"boygenius","boygenius EP","Rock","Rock",8.3,2018-10-26,"Dayna Evans","Contributor"
"Geotic","Traversa","Electronic","Electronic",6.7,2018-10-26,"Maggie Lange","Contributor"
"Amerie","4AM Mulholland EP","Pop/R&B","Pop/R&B",7.2,2018-10-26,"Maura Johnston","Contributor"
"Joy Orbison","81b EP","Electronic","Electronic",7.7,2018-10-26,"Philip Sherburne","Contributing Editor"
"Robyn","Honey","Pop/R&B","Pop/R&B",8.5,2018-10-25,"Stacey Anderson","Senior Editor"
"Future, Juice WRLD","WRLD on Drugs","Rap","Rap",6.3,2018-10-25,"Torii MacAdams",""
"Queen","Bohemian Rhapsody OST","Rock","Rock",4.5,2018-10-25,"Stephen Thomas Erlewine","Contributor"
"Candy","Good to Feel","Metal","Metal",7.5,2018-10-25,"Kim Kelly","Contributor"
"How to Dress Well","The Anteroom","Pop/R&B","Pop/R&B",7.3,2018-10-24,"Claire Lobenfeld","Contributor"
"Lil Yachty","Nuthin’ 2 Prove","Rap","Rap",6.1,2018-10-24,"Trey Alston","Associate Staff Writer"
"Will Oldham","Songs of Love and Horror","Rock","Rock",7.1,2018-10-24,"Sam Sodomsky","Associate Staff Writer"
"Neneh Cherry","Broken Politics","Pop/R&B","Pop/R&B",7.3,2018-10-24,"Alfred Soto","Contributor"
"Greta Van Fleet","Anthem of the Peaceful Army","Rock","Rock",1.6,2018-10-23,"Jeremy D. Larson","Senior Editor"
"Yoko Ono","Warzone","Experimental","Experimental",6.3,2018-10-23,"Sasha Geffen","Contributor"
"Helena Deland","From the Series of Songs “Altogether Unaccompanied”","Experimental","Experimental",7.8,2018-10-23,"Philip Sherburne","Contributing Editor"
"Weakened Friends","Common Blah","","",7,2018-10-23,"Nina Corcoran","Contributor"
"Empress Of","Us","Pop/R&B","Pop/R&B",6.3,2018-10-22,"Katherine St. Asaph","Contributor"
"MØ","Forever Neverland","Pop/R&B","Pop/R&B",6,2018-10-22,"Dani Blum ","Contributor "
"Eli Keszler","Stadium","Experimental","Experimental",8,2018-10-22,"Miles Bowe","Contributor"
"GØGGS","Pre Strike Sweep","Rock","Rock",7.2,2018-10-22,"Stuart Berman","Contributor"
"Talking Heads","Remain in Light","Rock","Rock",10,2018-10-21,"Dan Brooks","Contributor"
"David Bowie","Loving the Alien","Rock","Rock",7.1,2018-10-20,"Chris O’Leary",""
"Kim Kashkashian","J.S. Bach: Six Suites for Viola Solo","","",7.6,2018-10-20,"Jayson Greene","Contributing Editor"
"Young Jesus","The Whole Thing Is Just There","Rock","Rock",8.1,2018-10-20,"Ian Cohen","Contributor"
"Molly Burch","First Flower","Folk/Country","Folk/Country",6.7,2018-10-20,"Vrinda Jagota","Contributor"
"Cloud Nothings","Last Building Burning","Rock","Rock",7.6,2018-10-19,"Evan Rytlewski","Contributor"
"Khalid","Suncity EP","Pop/R&B","Pop/R&B",6.2,2018-10-19,"Alphonse Pierre","Staff Writer "
"Cocteau Twins","Treasure Hiding: The Fontana Years","Rock","Rock",8,2018-10-19,"Jesse Dorris","Contributor"
"Calvin Johnson","A Wonderful Beast","Rock","Rock",7.8,2018-10-19,"Marc Masters","Contributor"
"Quavo","QUAVO HUNCHO","Rap","Rap",5.9,2018-10-18,"Paul A. Thompson","Contributor"
"Usher, Zaytoven","“A”","Pop/R&B,Rap","Pop/R&B",6.7,2018-10-18,"Briana Younger","Contributor"
"Elvis Costello, The Imposters","Look Now","Rock","Rock",8,2018-10-18,"Stephen Thomas Erlewine","Contributor"
"Current 93","The Light Is Leaving Us All","Experimental","Experimental",7.2,2018-10-18,"Calum Marsh","Contributor"
"Matthew Dear","Bunny","Electronic","Electronic",7.5,2018-10-17,"Philip Sherburne","Contributing Editor"
"The Dodos","Certainty Waves","Rock","Rock",6.4,2018-10-17,"Ian Cohen","Contributor"
"Shy Glizzy","Fully Loaded","Rap","Rap",7.6,2018-10-17,"Sheldon Pearce","Contributing Writer"
"Yowler","Black Dog in My Path","Rock","Rock",7.6,2018-10-17,"Sasha Geffen","Contributor"
"St. Vincent","MassEducation","Rock","Rock",7.2,2018-10-16,"Arielle Gordon","Contributor"
"Petite Noir","La Maison Noir","Pop/R&B","Pop/R&B",7.8,2018-10-16,"Stephen Kearse","Contributor"
"William Basinski, Lawrence English","Selva Oscura","Experimental","Experimental",6,2018-10-16,"Brian Howe","Contributor"
"Kero Kero Bonito","Time ‘n’ Place","Pop/R&B","Pop/R&B",6.5,2018-10-16,"Margaret Farrell","Contributor "
"Ella Mai","Ella Mai","Pop/R&B","Pop/R&B",6.6,2018-10-15,"Owen Myers ","Contributor "
"mewithoutYou","[Untitled]","Rock","Rock",7.5,2018-10-15,"Brad Nelson","Contributor"
"Connan Mockasin","Jassbusters","Rock","Rock",6.7,2018-10-15,"Andy Beta","Contributor"
"Colter Wall","Songs of the Plains","Folk/Country","Folk/Country",7.6,2018-10-15,"Amanda Wicks","Associate Staff Writer"
"The B-52’s","The B-52’s","Electronic,Rock","Electronic",9,2018-10-14,"Susan Elizabeth Shepard","Contributor"
